,Name,Lvl,HP,AC,Attack_Num,Attack_Descr,Attack_Type,Hit_Bonus,is_Agile
0,AADRUSHIAN,13,275,33,Attack 1,"Melee spiked chain +27 (disarm, reach 10 feet, trip), Damage 3d8+18 slashing plus pall of shadow",Melee,27.0,False
1,AAPOPH SERPENTFOLK,3,60,18,Attack 1,"Melee scimitar +11 (forceful, sweep), Damage 1d6+6 slashing",Melee,11.0,False
2,AASIMAR,5,73,23,Attack 1,"Melee longsword +15 (versatile P), Damage 1d8+7 slashing",Melee,15.0,False
3,ABANDONED ZEALOT,6,75,22,Attack 1,"Melee hand of despair +16 (finesse, magical), Damage 2d10+4 negative plus rend faith",Melee,16.0,False
4,ABBERTON RUFFIANS,-1,8,13,Attack 1,"Melee dagger +7 (agile, thrown 10 feet, versatile S), Damage 1d4+3 piercing",Melee,7.0,True
5,ABRIKANDILU (WRECKER DEMON),4,70,19,Attack 1,"Melee claw +14 (agile), Damage 2d6+4 slashing",Melee,14.0,True
6,ABYSSAL FUNGI,2,45,18,Attack 1,"Melee slam +11 (agile, finesse), Damage 1d6+4 bludgeoning",Melee,11.0,True
7,ABYSSAL FUNGI,2,45,18,Attack 1,"Melee slam +11 (agile, finesse), Damage 1d6+4 bludgeoning",Melee,11.0,True
8,ACCURSED FORGE-SPURNED,15,285,37,Attack 1,"Melee soul chain +31 (disarm, finesse, reach, trip), Damage 3d8+14 slashing plus 1d6 fire and soul siphon",Melee,31.0,False
9,ACOLYTE,1,16,15,Attack 1,"Melee staff +4 (two-hand d8), Damage 1d4+1 bludgeoning",Melee,4.0,False
10,ACOLYTE OF NETHYS,1,16,15,Attack 1,"Melee staff +4 (two-hand d8), Damage 1d4+1 bludgeoning",Melee,4.0,False
11,ACROBAT,2,28,18,Attack 1,"Melee dagger +10 (agile, finesse, versatile S), Damage 1d4+4 piercing",Melee,10.0,True
12,ADACHROS,13,225,34,Attack 1,"Melee fist +27 (agile, magical, versatile P), Damage 3d10+14 bludgeoning",Melee,27.0,True
13,ADAMANTINE GOLEM,18,255,42,Attack 1,"Melee fist +35 (deadly 3d12, magical, reach 15 feet), Damage 3d10+17 bludgeoning plus destructive strike",Melee,35.0,False
14,ADEME,8,135,27,Attack 1,"Melee scimitar +19 (forceful +2, sweep), Damage 2d6+10 slashing",Melee,19.0,False
15,ADHUKAIT,7,130,25,Attack 1,"Melee kukri +18 (agile, trip), Damage 1d6+9 slashing plus 2d6 persistent bleed and 1d4 evil",Melee,18.0,True
16,ADLET,10,180,30,Attack 1,"Melee spear +20 (magical), Damage 2d6+9 piercing plus 1d6 cold",Melee,20.0,False
17,ADOLESCENT SEA SERPENT,3,44,18,Attack 1,"Melee jaws +12 (reach 10 feet), Damage 1d8+6 piercing",Melee,12.0,False
18,ADRIVALLO,10,210,28,Attack 1,"Melee dagger +23 (agile, finesse, versatile S), Damage 1d4+11 piercing",Melee,23.0,True
19,ADULT BLACK DRAGON,11,215,31,Attack 1,"Melee jaws +25 (acid, magical, reach 10 feet), Damage 2d12+13 piercing plus 2d6 acid",Melee,25.0,False
20,ADULT BLUE DRAGON,13,260,34,Attack 1,"Melee jaws +27 (electricity, magical, reach 15 feet), Damage 3d8+12 piercing plus 1d12 electricity",Melee,27.0,False
21,ADULT BRASS DRAGON,11,215,31,Attack 1,"Melee jaws +24 (fire, magical, reach 10 feet), Damage 2d10+12 piercing plus 2d6 fire",Melee,24.0,False
22,ADULT BRINE DRAGON,12,222,33,Attack 1,"Melee jaws +26 (acid, magical, reach 15 feet), Damage 3d10+12 piercing plus 3d4 acid",Melee,26.0,False
23,ADULT BRONZE DRAGON,13,260,34,Attack 1,"Melee jaws +28 (electricity, magical, reach 15 feet), Damage 2d12+15 piercing plus 1d12 electricity",Melee,28.0,False
24,ADULT CLOUD DRAGON,14,254,36,Attack 1,"Melee jaws +29 (electricity, magical, reach 15 feet), Damage 3d10+15 piercing plus 2d12 electricity",Melee,29.0,False
25,ADULT COPPER DRAGON,12,235,33,Attack 1,"Melee jaws +26 (acid, magical, reach 10 feet), Damage 3d8+12 piercing plus 2d8 acid",Melee,26.0,False
26,ADULT CRYSTAL DRAGON,11,185,33,Attack 1,"Melee jaws +24 (sonic, reach 15 feet), Damage 2d8+13 slashing plus 3d6 piercing",Melee,24.0,False
27,ADULT FOREST DRAGON,14,290,36,Attack 1,"Melee jaws +29 (magical, reach 15 feet), Damage 3d10+13 piercing plus 2d6 poison",Melee,29.0,False
